Seed,Agent_ID,Agent_Type,Final_Payoff,Interactions,Degree
0,0,defect,746,250,5
0,1,cooperate,0,50,1
0,2,tit_for_tat,49,50,1
0,3,random,27,50,1
0,4,cooperate,0,50,1
0,5,defect,50,50,1
1,0,defect,750,250,5
1,1,cooperate,0,50,1
1,2,tit_for_tat,49,50,1
1,3,random,26,50,1
1,4,cooperate,0,50,1
1,5,defect,50,50,1
2,0,defect,734,250,5
2,1,cooperate,0,50,1
2,2,tit_for_tat,49,50,1
2,3,random,30,50,1
2,4,cooperate,0,50,1
2,5,defect,50,50,1
3,0,defect,746,250,5
3,1,cooperate,0,50,1
3,2,tit_for_tat,49,50,1
3,3,random,27,50,1
3,4,cooperate,0,50,1
3,5,defect,50,50,1
4,0,defect,746,250,5
4,1,cooperate,0,50,1
4,2,tit_for_tat,49,50,1
4,3,random,27,50,1
4,4,cooperate,0,50,1
4,5,defect,50,50,1
